Problemname,Solvername,Execution Time (ms),Solution (Kilometer)
P-n7_2.vrp,Optimal Solution (with Clustering),0,184.6298725098411
P-n7_2.vrp,Optimal Solution (with Clustering),0,184.6298725098411
P-n5_1.vrp,Optimal Solution (with Clustering),0,120.86493679463923
P-n7_1.vrp,Optimal Solution (with Clustering),0,134.93748687048614
P-n5_2.vrp,Optimal Solution (with Clustering),0,294.5803512050499
P-n6_1.vrp,Optimal Solution (with Clustering),0,130.90826335380046
P-n4_2.vrp,Optimal Solution (with Clustering),0,96.48968970007736
P-n6_2.vrp,Optimal Solution (with Clustering),0,129.62000745965602
P-n4_1.vrp,Optimal Solution (with Clustering),0,69.42267128415534
P-n8_1.vrp,Optimal Solution (with Clustering),0,143.32898751275195
P-n8_2.vrp,Optimal Solution (with Clustering),0,225.1585968547109
P-n7_2.vrp,Optimal Solution (without Clustering),0,162.6331014432223
P-n5_1.vrp,Optimal Solution (without Clustering),0,94.59115785661595
P-n7_1.vrp,Optimal Solution (without Clustering),0,132.45715588419614
P-n5_2.vrp,Optimal Solution (without Clustering),0,294.5803512050499
P-n6_1.vrp,Optimal Solution (without Clustering),0,118.38294155100263
P-n4_2.vrp,Optimal Solution (without Clustering),0,96.48968970007736
P-n6_2.vrp,Optimal Solution (without Clustering),0,121.30930104781318
P-n4_1.vrp,Optimal Solution (without Clustering),0,69.42267128415534
P-n8_1.vrp,Optimal Solution (without Clustering),0,136.09861281129906
P-n8_2.vrp,Optimal Solution (without Clustering),0,225.54320932100495

P-n7_2.vrp,2-Phase with LKH-3,685,184.6298725098411
P-n7_2.vrp,2-Phase with LKH-3,696,184.6298725098411
P-n5_1.vrp,2-Phase with LKH-3,690,120.86493679463923
P-n7_1.vrp,2-Phase with LKH-3,703,134.93748687048614
P-n5_2.vrp,2-Phase with LKH-3,682,294.5803512050499
P-n6_1.vrp,2-Phase with LKH-3,719,130.90826335380046
P-n4_2.vrp,2-Phase with LKH-3,498,96.48968970007736
P-n6_2.vrp,2-Phase with LKH-3,695,129.62000745965602
P-n4_1.vrp,2-Phase with LKH-3,438,69.42267128415534
P-n8_1.vrp,2-Phase with LKH-3,792,143.32898751275195
P-n8_2.vrp,2-Phase with LKH-3,930,225.1585968547109
P-n7_2.vrp,2-Phase with D-Wave,5461,192.505635051782
P-n5_1.vrp,2-Phase with D-Wave,3811,120.86493679463923
P-n7_1.vrp,2-Phase with D-Wave,5436,134.93748687048614
P-n5_2.vrp,2-Phase with D-Wave,3775,294.5803512050499
P-n6_1.vrp,2-Phase with D-Wave,4192,130.90826335380046
P-n4_2.vrp,2-Phase with D-Wave,2633,96.48968970007735
P-n6_2.vrp,2-Phase with D-Wave,5121,144.52852094292507
P-n4_1.vrp,2-Phase with D-Wave,2638,69.42267128415534
P-n8_1.vrp,2-Phase with D-Wave,7398,156.37418569519002
